camera_id,image_id,car_count,bus_count,truck_count,motorcycle_count,vehicle_count,congestion_level,model_name,conf,imgsz,analyzed_at
TCM045,TCM045_1,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:32
TCM045,TCM045_2,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:32
TCM045,TCM045_3,5,0,1,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:32
TCM046,TCM046_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:33
TCM046,TCM046_1,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:33
TCM046,TCM046_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:33
TCM046,TCM046_3,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:34
TCM047,TCM047_0,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:34
TCM047,TCM047_1,7,0,0,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:34
TCM047,TCM047_2,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:35
TCM047,TCM047_3,2,0,0,0,2,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:35
TCM048,TCM048_0,6,1,1,0,8,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:35
TCM048,TCM048_1,10,0,0,0,10,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:35
TCM048,TCM048_2,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:36
TCM048,TCM048_3,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:36
TCM049,TCM049_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:36
TCM049,TCM049_1,6,0,1,0,7,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:37
TCM049,TCM049_2,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:37
TCM049,TCM049_3,15,0,0,0,15,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:37
TCM050,TCM050_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:38
TCM050,TCM050_1,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:38
TCM050,TCM050_2,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:38
TCM050,TCM050_3,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:39
TCM051,TCM051_0,0,0,0,0,0,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:39
TCM051,TCM051_1,9,0,2,0,11,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:39
TCM051,TCM051_2,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:40
TCM051,TCM051_3,6,0,0,0,6,yellow,yolo26n.pt,0.4,1280,2026-06-01T18:24:40
TCM052,TCM052_0,1,0,0,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:40
TCM052,TCM052_1,5,0,0,0,5,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:41
TCM052,TCM052_2,0,0,1,0,1,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:41
TCM053,TCM053_0,3,0,0,0,3,green,yolo26n.pt,0.4,1280,2026-06-01T18:24:41
